Driver,Age,AnnualSalary
1,31,33296.33
2,59,65096.19
3,38,35964.91
4,52,83496.94
5,44,87079.03
6,25,49372.88
7,46,78679.4
8,50,61561.82
9,55,43107.76
10,53,51628.6
11,33,43359.91
12,49,47266.36
13,36,78716.56
14,41,52185.03
15,55,42462.61
16,43,60883.11
17,45,89731.54
18,31,35753.7
19,37,37726.81
20,46,51458.44
21,43,43756.57
22,33,41358.9
23,60,78803.91
24,32,81211.42
25,46,43988.33
26,41,52435.12
27,40,82820.85
28,55,80974.23
29,31,73496.25
30,34,57577.43
31,59,70766.81
32,30,71146.49
33,60,33056.16
34,50,79480.88
35,28,74002.61
36,60,75213.78
37,30,80084.45
38,25,72686.96
39,42,76270.73
40,26,74039.52
1,45,37887.08
2,53,38305.4
3,40,38341.12
4,43,37574.15
5,57,32225.93
6,29,36092.14
7,47,31485.66
8,30,30338.06
9,38,34761.83
10,32,36915.36
11,33,39390.82
12,32,38534.6
13,36,31171.94
14,25,36491.34
15,55,32380.37
16,52,35449.74
17,29,32276.85
18,58,31340.75
19,27,33032.85
20,43,35983.89
21,35,32493.7
22,39,33730.96
23,49,33096.84
24,57,38179.52
25,55,30171.89
26,59,30851.59
27,27,36261.36
28,44,35788.48
29,34,30419.9
30,29,39668.75
31,30,34526.52
32,31,34300.35
33,55,35060.84
34,41,34150.74
35,36,34073.94
36,42,38575.4
37,46,38857.46
38,49,31074.74
39,27,32301.33
40,27,31356.06
41,40,36394.74
42,44,37482.23
43,48,36888.06
44,55,35447.37
45,27,32595.51
46,45,32002.81
47,38,35815.94
48,46,35143.99
49,42,31814.16
50,56,38302.38
51,53,35129.2
52,30,35353.25
53,29,31230.33
54,31,38325.96
55,37,36185.22
56,55,33098.94
57,57,36058.88
58,44,39701.62
59,58,30197.98
60,30,35126.77
61,25,37539.36
62,50,35801.14
63,39,37563.53
64,32,34188.18
65,53,35512.25
66,37,33196.28
67,25,30130.32
68,45,33439.4
69,50,33649.86
70,59,39612.89
71,34,30900.72
72,55,37791.58
73,58,38725.51
74,44,35573.82
75,57,34894.04
76,40,38328.07
77,60,35061.04
78,55,34517.5
79,46,31285.8
80,43,34012.77
81,31,37116.98
82,43,34803.59
83,57,35914.27
84,45,37792.21
85,42,39575.63
86,33,31398.58
87,45,38137.02
88,39,33782.95
89,55,30927.66
90,31,34233.44
91,49,36235.24
92,52,34894.06
93,48,30624.77
94,55,32993.87
95,57,30110.53
96,54,35343.65
97,32,39297.87
98,37,33561.34
99,55,38078.16
100,46,30100.58
101,49,32939.94
102,47,31741.36
103,31,39511.33
104,38,32820.37
105,58,39178.9
106,59,35163.72
107,46,37349.49
108,27,38338.14
109,48,37049.98
110,36,31292.67
111,36,36511.6
112,30,39857.43
113,54,33256.63
114,37,33611.34
115,52,33345.84
116,50,36482.18
117,60,34573.34
118,56,36029.97
119,39,30301.93
120,36,36831.89
121,26,30479.15
122,37,38177.58
123,54,30413.51
124,45,30866.82
125,41,33588.37
126,60,31691.6
127,25,35281.54
128,29,33864.07
129,34,31343.99
130,27,33947.35
131,25,37506.34
132,54,36911.18
133,26,32119.76
134,41,35343.47
135,53,36010.21
136,34,35249.43
137,33,32151.4
138,60,34304.96
139,29,30150.3
